Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGAstd;10;1030_ERA.tsv;0,368822468229789;0,393361929393977;00:58:07.8940000;222266;13;3;1000;5;14;9;-1
OSGAstd;10;1030_ERA.tsv;0,454646080042331;0,38365080459943;00:58:07.8940000;199866;12;4;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,300484634925267;0,402779844685472;00:58:07.8940000;218666;12;5;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,287115152367587;0,404077198720233;00:58:07.8940000;211666;12;6;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,441922864569902;0,386801058681603;00:58:07.8940000;219566;12;7;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,384906035286906;0,390932316921781;00:58:07.8940000;213766;12;8;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,431283719228784;0,390188186858367;00:58:07.8940000;291866;12;9;1000;5;14;9;-1
OSGAstd;10;207_autoPrice.tsv;0,751681886582587;0,885639443538418;00:20:14.1540000;202266;28;0;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,954435797646405;0,870302394456933;00:20:14.1540000;204366;20;1;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,891851703251015;0,873099509040051;00:20:14.1540000;223066;21;2;159;16;14;9;-1
OSGAstd;10;207_autoPrice.tsv;0,720675130635825;0,890316715626601;00:20:14.1540000;200466;22;3;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,954675683870598;0,876539458839203;00:20:14.1540000;201666;25;4;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,939860885514375;0,874722450346358;00:20:14.1540000;204466;27;5;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,808420263004327;0,875520074138312;00:20:14.1540000;208166;34;6;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,936191598046387;0,875889496624524;00:20:14.1540000;205566;16;7;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,914837753052836;0,874442845861398;00:20:14.1540000;203366;24;8;159;16;14;8;-1
OSGAstd;10;207_autoPrice.tsv;0,849625875583897;0,886163861859166;00:20:14.1540000;213366;25;9;159;16;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,379039674844422;0,383059639792349;00:53:33.2670000;244966;13;0;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,470916171231268;0,371162215430868;00:53:33.2670000;219266;16;1;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,378285700699644;0,382314329053582;00:53:33.2670000;209766;16;2;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,2757566893778;0,391252257961214;00:53:33.2670000;238866;14;3;1000;11;14;9;-1
OSGAstd;10;1028_SWD.tsv;0,336495107887781;0,387896519022934;00:53:33.2670000;207066;14;4;1000;11;14;9;-1
OSGAstd;10;1028_SWD.tsv;0,316772013500581;0,388469736652344;00:53:33.2670000;222666;17;5;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,356494701362632;0,385496041462328;00:53:33.2670000;210166;13;6;1000;11;14;9;-1
OSGAstd;10;1028_SWD.tsv;0,378578350867531;0,382340909353788;00:53:33.2670000;219566;14;7;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,295486944758719;0,392862144524424;00:53:33.2670000;210566;16;8;1000;11;14;8;-1
OSGAstd;10;1028_SWD.tsv;0,418227302581114;0,377312304116234;00:53:33.2670000;211666;13;9;1000;11;14;8;-1
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;0;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;1;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;2;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;3;400;3;7;5;0,001
